Yuliya Krevsun
Nadine Broersen
John Mc Enroe
Charles Austin
Muhammad Ali
Ty Cobb
Carolina Klüft
Alexander Karelin
Tony Hawk
Johnny Unitas
Victoria Azarenka
Björn Borg
Daniela Hantuchová
Anna Kournikova
Brett Favre
Joe Di Maggio
Ekaterina Khomyakova
Boris Becker
Ichiro Suzuki
Peyton Manning
Tanja Frieden
Matthew Mitcham
Chrissie Wellington
Yelena Davydova
Paul Hamm
Larissa França
Nicole Sanderson
David Pearson
Kimberley Smith
Jim Thorpe
Shawn Johnson
Suzy Favor-Hamilton
Vanessa Atkinson
Therese Johaug
Maggie Vessey
Ana Paula Connelly
Bart Conner
Annie Thorisdottir
Lindsey Vonn
Jackie Robinson
Ilona Slupianek
Kacie Mac Tavish
Julie Krone
Vera Dushevina
Conny Wassmuth
Mario Lemieux
Hella Jurich
Rieke Brink-Abeler
Susanne Glesnes
Bobby Orr
Ariane Friedrich
Jim Brown
Alexandr Karelin
Stan Musial
Barry Sanders
Lisa Raymond
Wladimir Klitschko
Serena Williams
Carrie Tollefson
Dan Marino
Heike Henkel
Grete Waitz
Joe Montana
Tatyana Ledovskaya
Kobe Bryant
Kareem Abdul-Jabbar
Gene Tunney
Michael Phelps
Bart Starr
Misty May-Treanor
Sally Mc Lellan
Pete Rose
Tatiana Gutsu
Andreas Thorkildsen
Elena Dementieva
Kajsa Bergqvist
Roger Federer
Angelique Kerber
Maria Sharapova
Magic Johnson
Maria Antonelli
Anni Friesinger
Michael Schuhmacher
Paula Radcliffe
Walter Payton
Katarina Witt
Tom Brady
Sabine Lisicki
Britta Steffen
Lionel Messi
Rebecca Adlington
Evi Sachenbacher-Stehle
Julia Mancuso
Martina Hingis
Edward Hennig
Albert Pujols
Alyona Bondarenko
Martina Navratilova
Alice Schmidt
Hana Klapalová
Evgenia Ukolova
Kari Traa
Michael Jordan
Marrit Leenstra
Bill Russell
Mia Hamm
Natalie Gulbis
David Beckham
Monica Seles
Alison Williamson
Caroline Wozniacki
Martina Glagow
Sofia Mattsson
Lauren Jackson
Niki Gudex
Kerri Walsh
Nikolai Andrianov
Elena Vesnina
Pelé
Sergey Litvinov
Szilveszter Csollány
Ted Williams
Nicole Vaidisova
Michael Schumacher
Steven Hooker
Betty Heidler
Emma Johansson
Simona Amânar
Ronda Rousey
Tamsyn Lewis
Oliver Kahn
Usain Bolt
Vitali Klitschko
Mike Tyson
Vera Zvonareva
Amy Acuff
Libby Lenton
Cy Young
Wayne Rooney
Babe Ruth
Jerry Rice
Darya Klishina
Andre Agassi
Claudia Künzel
Gro Marit Istad Kristiansen
Mary Pierce
Kelly Slater
Hannah Teter
Katarina Witt
Barbara Rittner
Anna Chakvetadze
Wilt Chamberlain
Lilli Schwarzkopf
Yelena Soboleva
Marit Bjørgen
Bethanie Mattek
Sanne Keizer
Jesse Owens
Nastia Liukin
Anke Huber
Stefanie Graf
Romy Müller
Laura Ludwig
April Ross
Zinedine Zidane
Svetlana Khorkina
Tatiana Grigorieva
Sergei Kharkov
Sara Goller
Ágnes Szávay
Adriana Behar
Marina Lobatch
Bo Jackson
Wayne Gretzky
Jelena Dokić
Ana Ivanović
Nadia Comănec
Ricky Henderson
Virpi Kuitunen
Desiree Ficker
Lou Gehrig
Kathrine Maaseide
Chris Evert
Miroslav Klose
Nikolai Andrianov
Jennifer Kessy
Xavi
Larry Bird
Ivan Lendl
Rebekka Kadijk
Astrid Kumbernuss
Yelena Isinbayeva
Willie Mays
Melissa Breen
Bruce Lee
Mickey Mantle
Ilka Semmler
Talita Antunes
Katrin Mattscherodt
Sarah Bäckman
